id,direction,start_price,close_price,start_time,close_time,decision
8612,up,1.0661800000,1.0686800000,2016-12-05 11:14:07,2016-12-05 11:17:33,up
8613,up,1.0686800000,1.0711800000,2016-12-05 11:17:33,2016-12-05 11:23:35,up
8614,down,1.0711800000,1.0686800000,2016-12-05 11:23:35,2016-12-05 12:35:44,up
8615,up,1.0686800000,1.0711800000,2016-12-05 12:35:44,2016-12-05 14:13:19,up
8616,up,1.0711800000,1.0736800000,2016-12-05 14:13:19,2016-12-05 15:02:28,up
8617,up,1.0736800000,1.0761800000,2016-12-05 15:02:28,2016-12-05 17:51:39,down
8618,up,1.0761800000,1.0786800000,2016-12-05 17:51:39,2016-12-05 18:06:44,down
8619,down,1.0786800000,1.0761800000,2016-12-05 18:06:44,2016-12-05 20:44:32,up
8620,down,1.0761800000,1.0736800000,2016-12-05 20:44:32,2016-12-06 07:12:08,up
8621,up,1.0736800000,1.0761800000,2016-12-06 07:12:08,2016-12-06 07:39:50,down
8622,down,1.0761800000,1.0736800000,2016-12-06 07:39:50,2016-12-06 11:45:53,up
8623,down,1.0736800000,1.0711800000,2016-12-06 11:45:53,2016-12-06 17:01:50,up
8624,up,1.0711800000,1.0736800000,2016-12-06 17:01:50,2016-12-07 12:46:43,up
8625,up,1.0736800000,1.0761800000,2016-12-07 12:46:43,2016-12-07 15:20:49,up
8626,up,1.0761800000,1.0786800000,2016-12-07 15:20:49,2016-12-08 08:50:31,up
8627,up,1.0786800000,1.0811800000,2016-12-08 08:50:31,2016-12-08 12:45:13,up
8628,up,1.0811800000,1.0836800000,2016-12-08 12:45:13,2016-12-08 12:45:33,down
8629,up,1.0836800000,1.0861800000,2016-12-08 12:45:33,2016-12-08 12:45:48,down
8630,down,1.0861800000,1.0836800000,2016-12-08 12:45:48,2016-12-08 12:46:37,down
8631,down,1.0836800000,1.0811800000,2016-12-08 12:46:37,2016-12-08 12:47:16,down
8632,up,1.0811800000,1.0836800000,2016-12-08 12:47:16,2016-12-08 12:48:12,down
8633,down,1.0836800000,1.0811800000,2016-12-08 12:48:12,2016-12-08 12:48:38,down
8634,down,1.0811800000,1.0786800000,2016-12-08 12:48:38,2016-12-08 12:50:23,down
8635,up,1.0786800000,1.0811800000,2016-12-08 12:50:23,2016-12-08 12:51:51,down
8636,down,1.0811800000,1.0786800000,2016-12-08 12:51:51,2016-12-08 12:53:25,down
8637,down,1.0786800000,1.0761800000,2016-12-08 12:53:25,2016-12-08 12:58:29,down
8638,down,1.0761800000,1.0736800000,2016-12-08 12:58:29,2016-12-08 13:03:47,down
8639,up,1.0736800000,1.0761800000,2016-12-08 13:03:47,2016-12-08 13:10:42,down
8640,down,1.0761800000,1.0736800000,2016-12-08 13:10:42,2016-12-08 13:23:34,down
8641,down,1.0736800000,1.0711800000,2016-12-08 13:23:34,2016-12-08 13:33:07,down
